station,dhp,codeTaxa
A06,10.2,AASA
A06,28.5,BBPA
A06,19.1,BPGR
A07,15.4,AASA
A07,28.2,BBPA
A08,27.05,AASA
A08,12.3,BABA
A08,33,BBPA
A09,24.9,AASA
A10,20.2,AASA
A11,14,AASA
A11,43.1,BBPA
A12,15,AASA
A12,26.1,BBPA
A12,31,BPGR
B00,36.4,APST
B00,10.7,BARU
B00,12.6,BBPA
B00,10.5,BTOC
B01,16.1,BBPA
B01,18.1,BTOC
B02,14.2,BABA
B02,17.7,BARU
B02,13.3,BBPA
B02,22.1,BTOC
B03,11.3,APST
B03,11.2,BABA
B03,12.9,BARU
B03,17,BBPA
B03,27,BPGR
B04,20.3,BARU
B04,30.5,BBPA
B04,32.1,BPGR
B04,13.3,AASA
B05,29.5,AASA
B05,23,BBPA
B06,12.3,BARU
B06,16.6,BBPA
B07,19.4,AASA
B08,11.3,AASA
B09,16.1,AASA
B10,16.3,AASA
B10,27.5,BBPA
B11,20.8,BBPA
C01,14.6,APST
C01,19.4,BBPA
C01,20.8,BTOC
C02,10.9,APST
C02,18.55,BBPA
C02,25.1,BPGR
C03,39.85,APST
C03,12.1,BABA
C03,15.8,BBPA
C03,17.6,BPGR
C04,14.3,BARU
C04,12.6,BBPA
C05,13.1,BARU
C05,13.6,BBPA
C05,26.6,BPGR
C06,18.6,BBPA
C06,32.6,BPGR
C07,19.6,AASA
C07,21.3,BBPA
C08,14.9,AASA
C09,20.2,AASA
C09,33.5,BBPA
C10,20.7,AASA
C10,13.5,BARU
C11,19.7,AASA
C12,21.9,AASA
C12,10.8,AFGR
C12,26.7,BBPA
D01,10.8,BABA
D01,14.9,BARU
D01,21.1,BBPA
D01,17.3,BTOC
D02,10.4,BABA
D02,13.9,BARU
D02,18.1,BBPA
D02,32.9,BPGR
D03,17.4,AASA
D03,13.8,BABA
D03,10.6,BARU
D03,17.9,BBPA
D03,28.1,BPGR
D04,15.45,AASA
D04,19,BABA
D04,11,BARU
D04,13.95,BBPA
D04,24.6,BPGR
D05,10,AASA
D05,12.6,BBPA
D05,37.5,BPGR
D06,12.2,AASA
D06,21.9,BABA
D06,12.6,BBPA
D06,25.4,BPGR
D07,29.4,AASA
D07,15.7,AFGR
D07,24.3,BBPA
D08,19.2,AASA
D08,30.9,BBPA
D09,23.6,AASA
D09,25.3,BBPA
D10,21.3,AASA
D10,26.8,BBPA
D11,24.4,AASA
D11,36.2,BBPA
E01,11.7,BABA
E01,11,BBPA
E01,27.4,BPGR
E02,34.6,BARU
E02,11,BBPA
E02,24.2,BPGR
E03,21.5,BARU
E03,27.1,BBPA
E04,14.2,BARU
E04,23.7,BBPA
E04,48.4,BPGR
E05,18.1,BARU
E05,10.2,BBPA
E06,14.8,BARU
E06,10.4,BBPA
E06,19,BPGR
E07,17.6,BARU
E07,19.2,BBAL
E07,16.5,BBPA
E08,20.2,AASA
E08,15.3,BARU
E08,35.4,BBPA
E09,19.7,AFGR
E09,16,BARU
E10,24.7,AASA
E11,25,AASA
E11,25,BBPA
E11,35.1,BPGR
E12,12.5,AASA
E12,15.6,BBPA
A01,12.6,BBPA
A01,28.7,BPGR
A01,11.9,BTOC
A02,16.2,BARU
A02,13.7,BBPA
A02,21.7,BPGR
A03,13.4,APST
A03,19.6,BABA
A03,15.15,BARU
A03,13.6,BBPA
A03,18.5,BPGR
A04,10.8,BARU
A04,23.8,BBPA
A05,15.7,AASA
A05,17.9,BARU
A05,18.3,BBPA
A05,30.9,BPGR
A06,11.9,AASA
A06,16,BBPA
A06,27.9,BPGR
A07,18.7,AASA
A07,19.6,BBPA
A08,10.9,AASA
A08,31.85,BBPA
A09,13.3,AASA
A10,13.4,AASA
A11,15.2,AASA
A11,16,BBPA
A12,12,AASA
A12,19,BBPA
B00,35,APST
B00,20.7,BARU
B00,17.7,BBPA
B00,12.4,BTOC
B01,20.5,BBPA
B01,18.4,BTOC
B02,33.5,BARU
B02,26.8,BBPA
B03,38.8,APST
B03,15.3,BABA
B03,13.6,BARU
B03,10.2,BBPA
B03,21.2,BPGR
B04,21,BARU
B04,25,BBPA
B04,19,AASA
B05,19.7,AASA
B05,24.4,BBPA
B06,13,BARU
B06,30,BBPA
B07,19.3,AASA
B08,11,AASA
B09,24.7,AASA
B10,20.6,AASA
B10,27.1,BBPA
B11,24.8,BBPA
C01,34.1,APST
C01,11.1,BBPA
C02,13.1,APST
C02,16,BBPA
C02,12.8,BPGR
C03,44.2,APST
C03,12.5,BBPA
C04,22.5,BARU
C04,21.6,BBPA
C05,12.5,BBPA
C05,27.2,BPGR
C06,13.7,BBPA
C06,19,BPGR
C07,26.3,AASA
C07,19.5,BARU
C07,18.7,BBPA
C08,11.7,AASA
C09,16.9,AASA
C09,21.7,BBPA
C10,13,AASA
C10,19,BARU
C11,12.1,AASA
C12,10.3,AASA
C12,29.2,BBPA
D01,16.4,BARU
D01,18.8,BBPA
D01,11.5,BTOC
D02,14.8,BABA
D02,11.3,BBPA
D02,27.3,BPGR
D03,20.2,BARU
D03,20.8,BBPA
D04,15,BABA
D04,12.1,BARU
D04,18.1,BBPA
D05,8,AASA
D05,17.2,BBPA
D05,35,BPGR
D06,14.9,AASA
D06,10.1,BABA
D06,14.2,BBPA
D06,29.6,BPGR
D07,12.9,AASA
D07,26.8,AFGR
D07,11.9,BBPA
D08,34,AASA
D08,21.7,BBPA
D09,24.8,AASA
D10,17.8,AASA
D10,26.8,BBPA
D11,13.2,AASA
D11,15.9,BBPA
E01,10.3,BABA
E01,14.5,BBPA
E01,28.8,BPGR
E02,13.2,BARU
E02,22.8,BBPA
E02,20.4,BPGR
E03,29,BARU
E03,23.6,BBPA
E04,10.9,BARU
E04,17.5,BBPA
E05,18.4,BARU
E05,14.3,BBPA
E06,13.3,BARU
E06,21.3,BBPA
E06,31.4,BPGR
E07,21.9,BARU
E07,14.6,BBPA
E08,10.8,AASA
E08,17.8,BARU
E08,30.2,BBPA
E09,10.6,BARU
E10,25.9,AASA
E11,15.6,AASA
E11,30,BBPA
E12,15.6,AASA
E12,27.3,BBPA
A01,12.8,BBPA
A01,13.4,BTOC
A02,13.6,BARU
A02,12.4,BBPA
A02,32.8,BPGR
A03,18.4,BARU
A03,14,BBPA
A04,14.3,BARU
A04,15,BBPA
A05,15,AASA
A05,22.7,BBPA
A05,34.8,BPGR
A06,11.2,AASA
A06,19.2,BBPA
A07,23.2,AASA
A07,31,BBPA
A08,10.55,AASA
A09,25.3,AASA
A10,26.8,AASA
A11,12.8,AASA
A12,14.4,AASA
A12,13.1,BBPA
B00,32.2,APST
B00,13.5,BBPA
B00,13.9,BTOC
B01,20.6,BBPA
B01,17.5,BTOC
B02,26.9,BARU
B02,26,BBPA
B03,25,APST
B03,13.1,BABA
B03,12.3,BARU
B03,16.2,BBPA
B03,13.7,BPGR
B04,18.7,BARU
B04,15.2,BBPA
B04,18.4,AASA
B05,10.3,AASA
B05,19.6,BBPA
B06,14,BARU
B06,15,BBPA
B07,18.6,AASA
B08,22.1,AASA
B09,21.6,AASA
B10,13.2,AASA
B10,26.5,BBPA
B11,25,BBPA
C01,10.4,BBPA
C02,15,APST
C02,18.35,BBPA
C02,17,BPGR
C03,31,APST
C03,14.95,BBPA
C04,16.1,BARU
C04,26.8,BBPA
C05,13.1,BBPA
C05,18.1,BPGR
C06,19.8,BBPA
C06,18.7,BPGR
C07,10.8,AASA
C07,31.6,BBPA
C08,17.1,AASA
C09,25.6,AASA
C09,20.6,BBPA
C10,11.4,AASA
C11,14.5,AASA
C12,21.6,AASA
C12,18.3,BBPA
D01,28.2,BARU
D01,19.9,BBPA
D01,19.2,BTOC
D02,10.1,BABA
D02,10.6,BBPA
D02,27.9,BPGR
D03,10.5,BARU
D03,25,BBPA
D04,10.35,BARU
D04,14.6,BBPA
D05,10.4,AASA
D05,13,BBPA
D05,31,BPGR
D06,18.7,AASA
D06,16.6,BBPA
D06,28,BPGR
D07,16.1,AASA
D07,47,AFGR
D08,21.8,AASA
D09,21,AASA
D10,15.1,AASA
D10,29.5,BBPA
D11,10.5,AASA
D11,27.6,BBPA
E01,21.3,BBPA
E02,16,BARU
E02,19.3,BBPA
E02,20.5,BPGR
E03,15.9,BARU
E03,15.4,BBPA
E04,12.1,BARU
E04,12.1,BBPA
E05,11.6,BARU
E05,11.1,BBPA
E06,18.4,BARU
E06,24.2,BBPA
E06,13.7,BPGR
E07,19.8,BARU
E07,25,BBPA
E08,23,AASA
E08,22,BARU
E08,26.6,BBPA
E09,19.6,BARU
E10,11.4,AASA
E11,12,AASA
E11,21.8,BBPA
E12,22.1,AASA
E12,26.3,BBPA
A01,10.8,BBPA
A01,18.3,BTOC
A02,12,BBPA
A02,26.7,BPGR
A03,10.35,BBPA
A04,14.2,BARU
A04,16.4,BBPA
A05,22.3,BBPA
A06,22.3,BBPA
A07,17.9,AASA
A07,13.2,BBPA
A08,24.4,AASA
A09,13.5,AASA
A10,11.4,AASA
A11,11.5,AASA
A12,20,BBPA
B00,31.5,APST
B00,10,BBPA
B00,10.6,BTOC
B01,18.7,BBPA
B01,18.2,BTOC
B02,11.5,BARU
B02,26,BBPA
B03,24.7,APST
B03,20.4,BBPA
B03,14.5,BPGR
B04,13.4,BARU
B04,23.7,BBPA
B04,26.6,AASA
B05,14.2,AASA
B05,28.9,BBPA
B06,14.3,BARU
B06,18.4,BBPA
B07,16.7,AASA
B08,10.1,AASA
B09,12.7,AASA
B10,11.8,AASA
B11,20.7,BBPA
C01,14.4,BBPA
C02,10.4,APST
C02,17.8,BBPA
C02,13.7,BPGR
C03,22.85,APST
C03,17.35,BBPA
C04,26.1,BARU
C04,15.6,BBPA
C05,17.3,BBPA
C05,18.1,BPGR
C06,12,BBPA
C07,25.7,AASA
C07,21.2,BBPA
C08,24.7,AASA
C09,41.2,AASA
C09,22.3,BBPA
C10,18.1,AASA
C11,22.9,AASA
C12,16.1,AASA
D01,10.1,BARU
D01,15.2,BBPA
D01,13.9,BTOC
D02,20.1,BBPA
D02,23.2,BPGR
D03,19,BBPA
D04,15.6,BARU
D04,15.9,BBPA
D05,15,AASA
D05,18.2,BBPA
D05,36.6,BPGR
D06,13.7,BBPA
D06,25.4,BPGR
D07,27.9,AASA
D08,18.4,AASA
D09,24.1,AASA
D10,15.1,AASA
D10,23.5,BBPA
D11,10.5,AASA
D11,28.3,BBPA
E01,14.6,BBPA
E02,18.3,BARU
E02,16.5,BBPA
E02,23.1,BPGR
E03,16.3,BARU
E03,20.6,BBPA
E04,14.5,BARU
E04,15,BBPA
E05,11.8,BARU
E05,21,BBPA
E06,21.5,BARU
E06,14.2,BBPA
E06,12.9,BPGR
E07,17.9,BARU
E07,19.6,BBPA
E08,23,AASA
E08,12.7,BARU
E08,11.8,BBPA
E09,20.9,BARU
E10,25.8,AASA
E11,11.5,AASA
E11,23.3,BBPA
E12,11.3,AASA
E12,32.8,BBPA
A01,12,BBPA
A01,13.6,BTOC
A02,18.5,BBPA
A02,33.8,BPGR
A03,16.3,BBPA
A04,14.1,BARU
A04,14.7,BBPA
A05,19.2,BBPA
A06,20.8,BBPA
A07,19.3,AASA
A07,27.6,BBPA
A08,19.1,AASA
A09,11.2,AASA
A10,14.5,AASA
A11,21.4,AASA
A12,28.5,BBPA
B00,15,APST
B00,11.5,BBPA
B00,11,BTOC
B01,19.1,BBPA
B01,20.3,BTOC
B02,11.2,BARU
B02,21.4,BBPA
B03,16.3,BBPA
B03,18.9,BPGR
B04,28.1,BBPA
B04,13.6,AASA
B05,26,AASA
B05,23.5,BBPA
B06,16.9,BARU
B06,19.5,BBPA
B07,24.5,AASA
B08,25.3,AASA
B09,15.2,AASA
B10,16,AASA
B11,18.3,BBPA
C01,10,BBPA
C02,21.4,APST
C02,10,BBPA
C02,15.8,BPGR
C03,39.4,APST
C03,10.15,BBPA
C04,11.2,BARU
C04,11.8,BBPA
C05,19.5,BBPA
C05,23.8,BPGR
C06,18.7,BBPA
C07,28.4,AASA
C07,25.8,BBPA
C08,29.1,AASA
C09,10.4,AASA
C09,20.6,BBPA
C10,15.7,AASA
C11,20.5,AASA
C12,14.5,AASA
D01,20.4,BARU
D01,21.2,BBPA
D01,20.5,BTOC
D02,15.2,BBPA
D02,26.3,BPGR
D03,10.6,BBPA
D04,13.7,BBPA
D05,15.4,AASA
D05,13.5,BBPA
D06,12.1,BBPA
D06,31.1,BPGR
D07,23.1,AASA
D08,18,AASA
D09,12.8,AASA
D10,19.1,AASA
D11,26.4,BBPA
E01,12.6,BBPA
E02,16.7,BARU
E02,13.1,BBPA
E02,17.5,BPGR
E03,10.5,BARU
E03,11.6,BBPA
E04,12.9,BARU
E04,27.6,BBPA
E05,13.1,BARU
E05,15.7,BBPA
E06,10.2,BARU
